Serial Number,Device Name / Hostname,Tags,Notes
FOX1905G5SW,192.168.53.10,UCS-Chassis,
FOX1847GM4Y,192.168.53.10,UCS-Chassis,
SSI1906019H,192.168.53.10,UCS-FI,
SSI190605BJ,192.168.53.10,UCS-FI,
FCH1921J6TW,192.168.53.10,UCS-Blades,
FCH1921J3TQ,192.168.53.10,UCS-Blades,
FCH1920JKH6,192.168.53.10,UCS-Blades,
FCH1921J6UY,192.168.53.10,UCS-Blades,
FCH1920JLZA,192.168.53.10,UCS-Blades,
FCH1921J70A,192.168.53.10,UCS-Blades,
FCH1921J4AC,192.168.53.10,UCS-Blades,
FCH1921J6NN,192.168.53.10,UCS-Blades,
